idencuesta,ola,social_trust,trust_nb,clase,m0_sexo,m0_edad,age10,swb,employed,couple,t02_01
5101221,1,1,1,3,1,64,1.4059624775122075,0,0,1,4
5101222,1,0,0,3,1,57,0.7059624775122074,1,0,1,2
5101224,1,0,0,2,2,37,-1.2940375224877925,0,1,1,2
5101226,1,0,0,3,2,26,-2.3940375224877926,0,0,0,3
5101251,1,0,0,3,2,41,-0.8940375224877926,0,1,0,3
5101252,1,0,1,3,2,22,-2.7940375224877925,1,0,0,3
5101253,1,0,0,3,2,34,-1.5940375224877925,0,0,0,4
5101261,1,1,1,3,2,35,-1.4940375224877926,0,1,0,4
5101291,1,0,1,2,1,54,0.40596247751220743,1,1,0,4
5101303,1,1,1,3,2,35,-1.4940375224877926,0,1,0,3
5101341,1,0,0,3,2,29,-2.0940375224877927,0,1,1,5
5101343,1,0,1,3,1,47,-0.2940375224877926,0,1,1,3
5101362,1,0,1,3,1,45,-0.49403752248779254,0,1,0,5
5101371,1,0,0,2,1,33,-1.6940375224877926,0,1,1,2
5101372,1,0,0,3,2,32,-1.7940375224877925,1,0,1,4
5101393,1,0,1,3,2,55,0.5059624775122075,0,0,0,5
5101403,1,0,1,3,1,27,-2.2940375224877925,0,1,1,4
5101404,1,0,1,1,2,54,0.40596247751220743,0,1,0,5
5101411,1,0,0,3,1,31,-1.8940375224877926,0,0,1,2
5101422,1,0,1,3,2,35,-1.4940375224877926,1,1,0,4
5101443,1,0,1,3,1,58,0.8059624775122074,1,0,1,4
5101453,1,0,1,2,2,28,-2.1940375224877924,0,1,1,4
5101462,1,0,0,3,2,49,-0.09403752248779255,0,0,1,3
5101463,1,0,0,3,2,31,-1.8940375224877926,0,1,1,3
5101465,1,0,1,3,1,66,1.6059624775122074,0,1,1,3
5101472,1,0,0,1,2,36,-1.3940375224877926,0,1,1,5
5101482,1,0,1,3,2,54,0.40596247751220743,0,1,1,4
